Date,Time,Daily_new,Cumulative,Cum_male,Cum_female,Days
2021年8月28日,24时,0,573,-,-,589
2021年8月29日,24时,1,574,-,-,590
2021年8月30日,24时,0,574,-,-,591
2021年8月31日,24时,0,574,-,-,592
2021年9月1日,24时,1,575,-,-,593
2021年9月2日,24时,0,575,-,-,594
2021年9月3日,24时,0,575,-,-,595
2021年9月4日,24时,0,576,-,-,596
2021年9月5日,24时,0,576,-,-,597
2021年9月6日,24时,0,576,-,-,598
2021年9月7日,24时,0,576,-,-,599
2021年9月8日,24时,0,576,-,-,600
2021年9月9日,24时,0,576,-,-,601
2021年9月10日,24时,0,576,-,-,602
2021年9月11日,24时,0,576,-,-,603
2021年9月12日,24时,0,576,-,-,604
2021年9月13日,24时,1,577,-,-,605
2021年9月14日,24时,1,578,-,-,606
2021年9月15日,24时,0,578,-,-,607
2021年9月16日,24时,0,578,-,-,608
2021年9月17日,24时,1,579,-,-,609
2021年9月18日,24时,0,579,-,-,610
2021年9月19日,24时,0,579,-,-,611
2021年9月20日,24时,0,579,-,-,612
2021年9月21日,24时,1,580,-,-,613
2021年9月22日,24时,0,580,-,-,614
2021年9月23日,24时,0,580,-,-,615
2021年9月24日,24时,1,581,-,-,616
2021年9月25日,24时,0,581,-,-,617
2021年9月26日,24时,0,581,-,-,618
2021年9月27日,24时,0,581,-,-,619
2021年9月28日,24时,0,581,-,-,620
2021年9月29日,24时,0,581,-,-,621
2021年9月30日,24时,0,581,-,-,622
2021年10月1日,24时,0,581,-,-,623
2021年10月2日,24时,0,581,-,-,624
2021年10月3日,24时,1,582,-,-,625
2021年10月4日,24时,0,582,-,-,626
2021年10月5日,24时,0,582,-,-,627
2021年10月6日,24时,0,582,-,-,628
2021年10月7日,24时,0,582,-,-,629
2021年10月8日,24时,0,582,-,-,630
2021年10月9日,24时,0,582,-,-,631
2021年10月10日,24时,0,582,-,-,632
2021年10月11日,24时,0,582,-,-,633
2021年10月12日,24时,1,583,-,-,634
2021年10月13日,24时,0,583,-,-,635
2021年10月14日,24时,0,583,-,-,636
2021年10月15日,24时,0,583,-,-,637
2021年10月16日,24时,0,583,-,-,638
2021年10月17日,24时,0,583,-,-,639
2021年10月18日,24时,0,583,-,-,640
2021年10月19日,24时,0,583,-,-,641
2021年10月20日,24时,0,583,-,-,642
2021年10月21日,24时,1,584,-,-,643
2021年10月22日,24时,0,584,-,-,644
2021年10月23日,24时,0,584,-,-,645
2021年10月24日,24时,0,584,-,-,646
2021年10月25日,24时,2,586,-,-,647
2021年10月26日,24时,0,586,-,-,648
2021年10月27日,24时,0,586,-,-,649
2021年10月28日,24时,0,586,-,-,650
2021年10月29日,24时,1,587,-,-,651
2021年10月30日,24时,0,587,-,-,652
2021年10月31日,24时,0,587,-,-,653
2021年11月1日,24时,0,587,-,-,654
2021年11月2日,24时,0,587,-,-,655
2021年11月3日,24时,0,587,-,-,656
2021年11月4日,24时,0,587,-,-,657
